136;18ecc90f16385db6f953724d38387202;Geoscientists, Except Hydrologists and Geographers
137;c2de4bc96a48845439e997bf41e8fe51;Service Unit Operators, Oil, Gas, and Mining
138;b4155ade06cff632fb89ff03057b3107;Chief Sustainability Officers
139;7ef30a5b2e0ec04db4ad4d5b1d354c32;Information Security Analysts
140;e8cc5d1b96a319fea2779d96df63d00e;Technical Directors/Managers
141;2c3a5687d0a23cce8edc302936685eaf;Riggers
142;64304ac08cc341f1a70e973ee7089e66;Power Distributors and Dispatchers
143;d7f09579cb56c6aa9beace7d9aac658a;Camera Operators, Television, Video, and Motion Picture
144;bf45a58f18e6fe2e8cf2476bcb40f404;Computer-Controlled Machine Tool Operators, Metal and Plastic
145;753caedf8327429ae7038041172ba65a;Sailors and Marine Oilers
146;c694b1fbf0bd19efa780497ccb70638e;Computer and Information Research Scientists
147;596226d5f9ef63de41a852826d483d19;Database Architects
148;b9eb07b3532df0ec851bec33835569d3;Explosives Workers, Ordnance Handling Experts, and Blasters
149;3d7a53fb5a27e2ede5e2c74fd6c87f3f;Mobile Heavy Equipment Mechanics, Except Engines
150;ba1c2b2e5482ffd93b922625e3b91e0c;Patternmakers, Wood
151;bab6b228ad976cd2624acbcfccb8ad9b;Geospatial Information Scientists and Technologists
152;7bc8605ff5e6f9ba23815742be285fd4;Elevator Installers and Repairers
153;1c7c66201de1711c602c15173c6ed842;Watch Repairers
154;c1a6a896cf42c8854e949015b7660e26;Occupational Health and Safety Technicians
155;77f1d647dabe128e6faa0b398a2771e2;Millwrights
156;72d8102a88c284fb83d4247877e1504c;Astronomers
157;e798e53604fa324039c17f5f8fc2bb0d;Bus and Truck Mechanics and Diesel Engine Specialists
158;8e214a6c1b78a940cd4deae3c4f1a658;Solar Photovoltaic Installers
159;40978f59532729b8f20a53dbd5cfa8d3;Environmental Science and Protection Technicians, Including Health
160;737f1d855174d2dc520e0054053fa051;Directors- Stage, Motion Pictures, Television, and Radio
161;887855db59dc16cd99593b47f94ac9f2;Camera and Photographic Equipment Repairers
162;cb4908b3b8f7daf77cc1fa12888b2684;First-Line Supervisors of Aquacultural Workers
